datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour
2024-07-09 16:00:00,96.720039,83.554098,-38.809617,-55.854648,-6.510344,-6.974587,-13.165941000000004,-0.401257251354086,-0.6684848420002093,1,1,20456.472,31.1,9,6,7,1,0.7071067811865476,-0.7071067811865475
2024-07-09 17:00:00,107.456493,87.283877,-33.846758,-69.431055,-7.036749,-8.271735,-20.17261599999999,-0.3149810407454857,-0.7954625457345347,1,1,20419.05,32.0,0,6,12,1,0.0,1.0
2024-07-09 18:00:00,88.687255,120.397942,-29.749315,-30.395452,-5.89343,-7.668273,31.710687000000007,-0.33544070114696867,-0.2524582355402719,1,1,20645.649,32.2,17,5,6,1,-0.9659258262890683,-0.25881904510252063
2024-07-09 19:00:00,74.261145,66.176641,-16.380475,-19.557939,-4.49838,-4.295419,-8.084503999999995,-0.2205793487294062,-0.2955414282813176,1,0,20481.908000000003,31.9,8,5,11,1,0.8660254037844387,-0.4999999999999998
2024-07-09 20:00:00,58.148754,76.372696,-6.119172,-0.860088,-2.912074,-3.219716,18.223942000000008,-0.10523307171809736,-0.011261721073719852,0,0,19904.345,30.3,1,5,5,1,0.25881904510252074,0.9659258262890683
2024-07-09 21:00:00,55.738772,91.922032,-2.470979,-5.312156,-2.240249,-3.883312,36.183260000000004,-0.04433142158209011,-0.05778980168758671,0,1,19524.816,28.0,17,4,10,0,-0.9659258262890683,-0.25881904510252063
2024-07-09 22:00:00,40.915622,42.420734,-0.17022,-0.344625,-1.514158,-1.633808,1.505112000000004,-0.0041602691509859,-0.008123975412589513,0,0,18597.157,27.3,9,4,4,0,0.7071067811865476,-0.7071067811865475
2024-07-09 23:00:00,37.596805,38.695882,0.848777,-0.262646,-1.061972,-1.412305,1.099076999999994,0.02257577472341067,-0.006787440586055126,0,0,17451.316,25.8,1,4,9,0,0.25881904510252074,0.9659258262890683
2024-07-10 00:00:00,33.305669,33.988909,0.62656,0.254171,-1.140891,-1.289428,0.6832399999999978,0.018812412985909396,0.007478057033251641,0,0,16470.355,25.7,16,3,3,0,-0.8660254037844384,-0.5000000000000004
2024-07-10 01:00:00,30.760751,32.789558,0.695266,0.280786,-0.914515,-1.013728,2.0288070000000005,0.022602374044768937,0.00856327493039095,0,0,15797.73,26.8,9,3,8,0,0.7071067811865476,-0.7071067811865475
2024-07-10 02:00:00,27.219678,24.932079,0.421859,-0.042546,-0.442181,-0.730375,-2.2875989999999966,0.015498309715493328,-0.0017064762228613185,0,0,14992.308,27.0,0,3,2,0,0.0,1.0
2024-07-10 03:00:00,23.961742,23.311433,0.521228,-0.104856,-0.359486,-0.706212,-0.650309,0.021752508644822234,-0.0044980503772548,0,0,14666.082999999999,27.0,17,2,7,0,-0.9659258262890683,-0.25881904510252063
2024-07-10 04:00:00,23.50375,22.16717,0.463913,-0.135958,-0.300163,-0.670206,-1.3365800000000014,0.019737829069829283,-0.0061333043415104415,0,0,14613.223999999998,26.6,8,2,1,0,0.8660254037844387,-0.4999999999999998
2024-07-10 05:00:00,25.754765,57.678878,0.704332,0.679055,-0.569567,-1.617677,31.924113,0.027347638388469084,0.01177302720763743,0,0,15036.506000000001,24.5,1,2,6,0,0.25881904510252074,0.9659258262890683
2024-07-10 06:00:00,28.877465,38.509551,0.976113,0.051594,-0.808648,-1.125376,9.632086000000001,0.03380189362189513,0.0013397715283670795,0,0,15746.173999999999,23.5,16,1,12,0,-0.8660254037844384,-0.5000000000000004
2024-07-10 07:00:00,30.99678,59.190761,-4.55339,-0.517637,-1.25983,-2.153269,28.193981,-0.1468988069083305,-0.00874523306095017,0,0,16436.717,23.6,9,1,5,0,0.7071067811865476,-0.7071067811865475
2024-07-10 08:00:00,32.773433,94.054159,-4.675671,0.277595,-1.470896,-3.289269,61.280726,-0.1426665006378795,0.002951437798726157,0,1,17038.095,23.8,0,1,11,0,0.0,1.0
2024-07-10 09:00:00,36.235423,51.389869,-10.215461,-15.841722,-2.359116,-2.561742,15.154446,-0.2819191871997741,-0.30826546765472396,0,0,17546.451,24.0,17,0,4,0,-0.9659258262890683,-0.25881904510252063
2024-07-10 10:00:00,38.50965,38.547197,-12.632911,-10.932624,-2.767439,-1.939346,0.037546999999996444,-0.3280453340915848,-0.2836165752856168,0,0,17902.612999999998,23.5,9,0,10,0,0.7071067811865476,-0.7071067811865475
2024-07-10 11:00:00,37.716293,41.471601,-26.316727,-12.592373,-3.56698,-2.276026,3.7553079999999994,-0.6977548668422955,-0.30363845852008464,0,0,18035.916,23.1,1,0,3,0,0.25881904510252074,0.9659258262890683
2024-07-10 12:00:00,39.17747,48.818549,-34.218982,-29.876844,-4.003548,-3.56044,9.641078999999998,-0.8734352167202221,-0.6119977879719448,0,0,18201.267,22.6,17,6,9,1,-0.9659258262890683,-0.25881904510252063
2024-07-10 13:00:00,45.723766,48.535365,-45.470028,-38.989823,-5.216206,-4.180646,2.811599000000001,-0.994450632084855,-0.8033281093075122,0,0,18347.029000000002,23.0,8,6,2,1,0.8660254037844387,-0.4999999999999998
2024-07-10 14:00:00,46.815493,39.353654,-52.214189,-48.330199,-5.730318,-4.275314,-7.461838999999998,-1.115318576267049,-1.228099403425156,0,0,18211.037,23.0,1,6,8,1,0.25881904510252074,0.9659258262890683
2024-07-10 15:00:00,53.489079,43.5891,-64.97512,-74.745539,-7.105801,-6.070361,-9.899978999999995,-1.2147361894191524,-1.7147759187503295,0,0,18071.938000000002,22.2,16,5,1,1,-0.8660254037844384,-0.5000000000000004
2024-07-10 16:00:00,60.24594,71.107409,-66.630027,-80.583305,-7.544033,-8.058453,10.861469000000007,-1.1059670908944237,-1.1332617252303483,0,0,18036.988,22.6,9,5,7,1,0.7071067811865476,-0.7071067811865475
2024-07-10 17:00:00,61.453847,35.862171,-68.189433,-70.64172,-7.61672,-5.801942,-25.591676000000007,-1.1096039764605785,-1.9698115878149154,0,0,17884.96,23.0,0,5,12,1,0.0,1.0
2024-07-10 18:00:00,53.786515,46.489186,-51.013558,-38.692328,-6.279927,-4.632653,-7.297329000000005,-0.9484451260692388,-0.8322866311318079,0,0,17853.79,23.6,17,4,6,0,-0.9659258262890683,-0.25881904510252063
