datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour,load_mw_lag_1,load_mw_lag_24,load_mw_lag_168,total_lmp_day_ahead_lag_1,total_lmp_day_ahead_lag_24,total_lmp_day_ahead_lag_168,load_mw_rolling_mean_24,load_mw_rolling_std_24,da_lmp_rolling_mean_24,da_lmp_rolling_std_24,congestion_share_da_lag_1,target_da_lmp_next_hour,target_da_spike_next_hour
2025-04-12 12:00:00,55.52147,56.650133,6.350545,13.12003,-0.229075,-0.37823,1.128662999999996,0.11437998669703811,0.2315975145195158,0,0,14196.937,9.0,12,5,4,1,1.2246467991473532e-16,-1.0,14447.798,15701.332,13938.365,57.982589,60.88979,43.387512,14822.6555,622.1991514099027,60.013064125,7.73262476861458,0.10310824513199988,49.43389,0.0
2025-04-12 13:00:00,49.43389,43.555438,5.882023,7.703279,-0.148133,-0.372841,-5.878451999999996,0.11898766210791828,0.17686147479449063,0,0,13890.712,10.2,13,5,4,1,-0.2588190451025208,-0.9659258262890683,14196.937,15569.585,14013.895,55.52147,59.425716,41.709862,14759.972375,605.3810191543697,59.789384125,7.783637121737989,0.11437998669703811,40.982493,0.0
2025-04-12 14:00:00,40.982493,55.145107,5.421251,7.678069,-0.128758,-0.335462,14.162614000000005,0.13228211861098835,0.13923391244847888,0,0,13640.844,11.1,14,5,4,1,-0.4999999999999998,-0.8660254037844388,13890.712,15239.849,14014.378,49.43389,55.11835,40.688276,14690.019333333335,604.7594141175695,59.37305804166667,8.066029958413301,0.11898766210791828,39.958661,0.0
2025-04-12 15:00:00,39.958661,50.137277,5.258547,10.308449,-0.199886,-0.285339,10.178615999999998,0.13159967997926658,0.20560448466317785,0,0,13427.012,10.8,15,5,4,1,-0.7071067811865471,-0.7071067811865479,13640.844,15204.922,14173.554,40.982493,52.032413,41.218361,14623.394125,629.1403037909121,58.784063999999994,8.866604933695994,0.13228211861098835,44.045447,0.0
2025-04-12 16:00:00,44.045447,41.999245,5.565461,10.647728,-0.280014,-0.288483,-2.046202000000001,0.12635723733261237,0.2535218906911303,0,0,13427.109,10.4,16,5,4,1,-0.8660254037844384,-0.5000000000000004,13427.012,15251.92,14305.119,39.958661,48.992097,46.99421,14549.314541666667,661.5282599457488,58.280991,9.580144181547025,0.13159967997926658,50.852491,0.0
2025-04-12 17:00:00,50.852491,43.89867,6.262006,8.105781,-0.119515,-0.464611,-6.953820999999998,0.12314059502021249,0.18464753032381162,0,0,13434.044,10.4,17,5,4,1,-0.9659258262890683,-0.25881904510252063,13427.109,15238.13,14320.726,44.045447,47.44069,47.924032,14473.28075,681.8196637298419,58.07488058333333,9.838408194733022,0.12635723733261237,54.379189,0.0
2025-04-12 18:00:00,54.379189,38.939719,7.420091,8.863311,0.149098,-0.446093,-15.43947,0.13645093162386074,0.2276162033937636,0,0,13488.652,9.9,18,5,4,1,-1.0,-1.8369701987210297e-16,13434.044,15185.512,14270.118,50.852491,44.784672,51.264041,14398.1105,693.1842182591757,58.21703895833334,9.701770858943343,0.12314059502021249,77.740697,1.0
2025-04-12 19:00:00,77.740697,54.890436,8.491838,7.441073,0.548859,-0.328137,-22.850260999999996,0.10923285135969388,0.1355622862970154,1,0,13618.571,9.5,19,5,4,1,-0.9659258262890684,0.2588190451025203,13488.652,15330.791,14107.86,54.379189,55.678429,57.648161,14327.408000000001,695.9117162609157,58.61681050000001,9.314143580630702,0.13645093162386074,80.801267,1.0
2025-04-12 20:00:00,80.801267,68.180859,8.392856,6.557315,0.708411,0.049378,-12.620407999999998,0.1038703514389199,0.09617530632754276,1,0,14067.295,8.6,20,5,4,1,-0.8660254037844386,0.5000000000000001,13618.571,15473.073,14267.525,77.740697,61.101515,54.752393,14256.065499999999,676.058271208647,59.536071666666665,10.06961246078313,0.10923285135969388,64.526499,0.0
2025-04-12 21:00:00,64.526499,74.410514,7.758781,14.954157,0.617718,0.132191,9.884015000000005,0.12024177849785403,0.20096833358791205,0,0,14272.063,7.0,21,5,4,1,-0.7071067811865477,0.7071067811865474,14067.295,15388.901,13923.425,80.801267,62.782266,48.797919,14197.49141666667,625.0024336820359,60.35689466666667,10.965798802635547,0.1038703514389199,60.936435,0.0
2025-04-12 22:00:00,60.936435,76.004696,8.574991,16.421158,0.621444,0.082704,15.068260999999993,0.1407202603828071,0.2160545185260658,0,0,13970.895,6.1,22,5,4,1,-0.5000000000000004,0.8660254037844384,14272.063,14901.809,13467.949,64.526499,59.083798,41.205228,14150.9565,571.7470226160217,60.42957104166666,10.988328803182823,0.12024177849785403,59.731444,0.0
2025-04-12 23:00:00,59.731444,49.57324,8.437529,10.363944,0.643915,0.077629,-10.158204000000005,0.14125774357639836,0.2090632768808333,0,0,13547.612,4.8,23,5,4,1,-0.25881904510252157,0.9659258262890681,13970.895,14405.475,12923.152999999998,60.936435,51.756729,40.53377,14112.168416666667,549.7474292892861,60.50676425,10.98497056732791,0.1407202603828071,69.773841,0.0
2025-04-13 00:00:00,69.773841,48.275345,10.726409,10.15081,0.497432,0.171201,-21.498496000000003,0.15373109529687493,0.21026903070293956,0,0,13420.576,3.8,0,6,4,1,0.0,1.0,13547.612,14027.993,12482.195,59.731444,74.514554,44.946219,14076.424125,557.6793109463471,60.83904404166666,10.828281148217567,0.14125774357639836,54.324688,0.0
2025-04-13 01:00:00,54.324688,45.000944,11.836353,10.812929,0.208335,0.248848,-9.323744000000005,0.21788165631066303,0.24028227052303616,0,0,13309.7,3.2,1,6,4,1,0.25881904510252074,0.9659258262890683,13420.576,13831.945,12219.684,69.773841,67.553893,41.348443,14051.115083333332,573.5306733679529,60.64151433333333,10.608985245866693,0.15373109529687493,51.118711,0.0
